,language,page_url,image_url,page_title,section_title,hierarchical_section_title,caption_reference_description,caption_attribution_description,caption_alt_text_description,mime_type,original_height,original_width,is_main_image,attribution_passes_lang_id,page_changed_recently,context_page_description
10,fil,https://tl.wikipedia.org/wiki/North_Luzon_Expressway,https://upload.wikimedia.org/wikipedia/commons/7/7a/North_Luzon_Expressway_new_logo.png,North Luzon Expressway,,North Luzon Expressway,,English: Logo of North Luzon Expressway (NLEX) as of October 2017.,,image/png,104,342,True,True,True,"Ang North Luzon Expressway, dating tinatawag na North Diversion Road at Manila North Expressway, ay isang may takdang mabilisang daanan na nagkokonekta sa Kalakhang Maynila sa mga lalawigan ng Gitnang Luzon sa Pilipinas. Ito ay isang bahagi ng Expressway 1 ng sistemang mabilisang daanan ng Kagawaran ng Pagawaing Bayan at Lansangan at Daang Radyal Blg. 8 ng sistemang arteryal ng mga lansangan sa Kamaynilaan. Itinayo ito noong dekada-1960.
Nagsisimula ito sa isang palitang trebol sa EDSA—karugtong sa Abenida Bonifacio—sa Lungsod Quezon. Dadaan ito sa Caloocan at Valenzuela ng Kamaynilaan, Bulacan, at Pampanga. Sa ngayon, nagtatapos ito sa Labasan ng Santa Ines sa Mabalacat, at pinagiisa sa Lansangang MacArthur pahilaga patungo sa natitirang bahagi ng Gitnang at Hilagang Luzon. May isang panukala na derektang kukonektahin ang mabilisang daanan sa Subic–Clark–Tarlac Expressway sa pamamagitan ng isang palitan na matatagpuan 3-kilometro hilaga ng kasalukuyang dulo nito sa Labasan ng Santa Ines. Ang bahagi ng mabilisang daanan sa pagitan ng Labasan ng Santa Rita sa Guiguinto at Palitan ng Balintawak sa Lungsod Quezon ay isang bahagi ng bagong pagkakalinya ng N1."
11,id,https://id.wikipedia.org/wiki/Subaru_Impreza,https://upload.wikimedia.org/wikipedia/commons/c/c8/Colin_McRae%27s_1995_World_Championship_winning_Subaru_Impreza.jpg,Subaru Impreza,Impreza dalam Poli,Subaru Impreza / Impreza dalam Poli,"Impreza WRX 555, juara poli dunia 1995",Colin McRae's 1995 World Championship winning Subaru Impreza,,image/jpeg,1200,1600,True,True,True,"Subaru Impreza adalah mobil kompak berkarakter sport yang diproduksi oleh Subaru dari perusahaan Fuji Heavy Industries, Jepang. Impreza pertama kali diluncurkan di Jepang pada akhir tahun 1992, dan mulai masuk pasar ekspor pada tahun 1993. Semua Impreza menggunakan mesin 4 silinder dengan konfigurasi Boxer.
Pada umumnya Impreza berpenggerak 4WD Symmetrical All Wheel Drive, meskipun ada versi yang lebih murah dengan penggerak roda depan.
Subaru Impreza yang berkemampuan tinggi adalah WRX yang sangat popular di arena kejuaraan rally dunia / World Rally Championship. Dengan warna biru yang khas, Impreza untuk WRC dipersiapkan oleh Subaru Technica International bersama Prodrive dari Inggris. Secara resmi Subaru Impreza ikut WRC dari tahun 1993 sampai 2008.
Pasar yang besar untuk Subaru Impreza adalah Jepang, Amerika Serikat, Britania Raya dan Australia."
12,vi,https://vi.wikipedia.org/wiki/Lai_Ch%C3%A2u,https://upload.wikimedia.org/wikipedia/commons/3/33/Laichautown.jpg,Lai Châu,Cơ sở hạ tầng,Lai Châu / Cơ sở hạ tầng,Quảng trường nhân dân tại Thành phố Lai Châu,"English: Lai Chau Town, Lai Chau Province, Vietnam",,image/jpeg,1273,1909,True,True,True,"Lai Châu là một tỉnh thuộc vùng Tây Bắc Bộ, Việt Nam.
Năm 2018, Lai Châu là đơn vị hành chính Việt Nam đông thứ 62 về số dân, xếp thứ 61 về Tổng sản phẩm trên địa bàn, xếp thứ 58 về GRDP bình quân đầu người, đứng thứ 46 về tốc độ tăng trưởng GRDP. Với 456.300 người dân, GRDP đạt 14.998 tỉ Đồng, GRDP bình quân đầu người đạt 33 triệu đồng, tốc độ tăng trưởng GRDP đạt 7,23%.
Lai Châu là một tỉnh biên giới, phía bắc giáp nước Cộng hòa Nhân dân Trung Hoa, phía tây và phía tây nam giáp tỉnh Điện Biên, phía đông giáp tỉnh Lào Cai, phía đông nam giáp tỉnh Yên Bái, và phía nam giáp tỉnh Sơn La. Đây là tỉnh có diện tích lớn thứ 10/63 tỉnh thành Việt Nam."
13,id,https://id.wikipedia.org/wiki/Romblon,https://upload.wikimedia.org/wikipedia/commons/1/1b/Ph_locator_map_romblon.png,Romblon,,Romblon,Peta menunjukkan lokasi provinsi Romblon,English: Map of the Philippines showing the location of Romblon,,image/png,440,300,True,True,True,Romblon merupakan sebuah provinsi di Filipina. Ibu kotanya ialah Romblon. Provinsi ini terletak di region MIMAROPA. Provinsi ini memiliki luas wilayah 1.355 km² dengan memiliki jumlah penduduk 279.774 jiwa dan 56.428 tempat tinggal. Provinsi ini memiliki angka kepadatan penduduk 206 jiwa/km².
14,fil,https://tl.wikipedia.org/wiki/Herbert_Bautista,https://upload.wikimedia.org/wikipedia/commons/f/f8/Herbert_Bautista_2016_%28cropped%29.jpg,Herbert Bautista,,Herbert Bautista,Si Bautista noong 2016,"English: Quezon City Mayor Herbert Bautista appeared as one of the guest in the Liberal Party's campaign rally in Brgy. Commonwealth, Quezon City on February 17, 2016.",,image/jpeg,827,685,True,True,True,"Si Herbert Constantine Maclang Bautista ay isang politiko at artistang Pilipino. Gumanap siya sa mga teleseryeng tulad ng Flor de Luna ng RPN 9.
Siya ang nakatatandang kapatid ni Hero Bautista at Harlene Bautista at anak ng direktor na si Herminio Bautista."
15,id,https://id.wikipedia.org/wiki/Hujan,https://upload.wikimedia.org/wikipedia/commons/e/e2/Deserts.png,Hujan,Gurun,Hujan / Klimatologi global / Gurun,Gurun-gurun terbesar,"English: NASA World Wind 1.4 used. Note that the polar regions, not highlighted in this image, are the largest areas on the planet with little precipitation and are technically considered to be deserts themselves.",,image/png,728,2184,True,True,True,"Hujan adalah sebuah presipitasi berwujud cairan, berbeda dengan presipitasi non-cair seperti salju, batu es dan slit. Hujan memerlukan keberadaan lapisan atmosfer tebal agar dapat menemui suhu di atas titik leleh es di dekat dan di atas permukaan Bumi. Di Bumi, hujan adalah proses kondensasi uap air di atmosfer menjadi butir air yang cukup berat untuk jatuh dan biasanya tiba di daratan. Dua proses yang mungkin terjadi bersamaan dapat mendorong udara semakin jenuh menjelang hujan, yaitu pendinginan udara atau penambahan uap air ke udara. Virga adalah presipitasi yang jatuh ke Bumi namun menguap sebelum mencapai daratan; inilah satu cara penjenuhan udara. Presipitasi terbentuk melalui tabrakan antara butir air atau kristal es dengan awan. Butir hujan memiliki ukuran yang beragam mulai dari pepat, mirip panekuk, hingga bola kecil.
Kelembapan yang bergerak di sepanjang zona perbedaan suhu dan kelembapan tiga dimensi yang disebut front cuaca adalah metode utama dalam pembuatan hujan. Jika pada saat itu ada kelembapan dan gerakan ke atas yang cukup, hujan akan jatuh dari awan konvektif seperti kumulonimbus yang dapat terkumpul menjadi ikatan hujan sempit."
16,fil,"https://tl.wikipedia.org/wiki/Santa_Maria,_Bulacan",http://upload.wikimedia.org/wikipedia/commons/c/ce/Sta._Maria_Town_Proper.jpg,"Santa Maria, Bulacan",Mga Barangay,"Santa Maria, Bulacan / Mga Barangay","Poblacion ng Bayan ng Santa Maria, Bulacan.","English: Center of Santa Maria, Bulacan, Philippines. Taken 6 April 2007. Tagalog: Poblacion ng Sta. Maria, Bulacan. Kinunan ko noong ika-6 ng Abril, 2007.",,image/jpeg,768,1024,True,True,True,"Ang Bayan ng Santa Maria ay isang unang klaseng bayan sa lalawigan ng Bulacan, Pilipinas. Ayon sa 2015 senso, ito ay may populasyon na 256,454 sa may 57,575 na kabahayan."
17,id,https://id.wikipedia.org/wiki/Kalimantan_Tengah,https://upload.wikimedia.org/wikipedia/commons/0/0b/Borneo1945.png,Kalimantan Tengah,Sejarah,Kalimantan Tengah / Sejarah,"Provinsi Borneo saat masa awal kemerdekaan, tahun 1945.","English: Locator map of the Province of Borneo, c. 1945.",,image/png,659,1219,True,True,True,"Kalimantan Tengah adalah salah satu provinsi di Indonesia yang terletak di Pulau Kalimantan. Ibu kotanya adalah Kota Palangkaraya. Kalimantan Tengah memiliki luas 153.564,60 km². Berdasarkan sensus tahun 2010, provinsi ini memiliki populasi 2.202.599 jiwa, yang terdiri atas 1.147.878
laki-laki dan 1.054.721 perempuan. Data BPS Kalimantan Tengah tahun 2019 menunjukkan penduduk provinsi ini tahun 2018 bertambah menjadi 2.660.209. Kalimantan Tengah mempunyai 13 kabupaten dan 1 kota."
18,id,https://id.wikipedia.org/wiki/Batu_Caves,https://upload.wikimedia.org/wikipedia/commons/7/73/Lord_Muruga_Batu_Caves.jpg,Batu Caves,Pembangunan,Batu Caves / Pembangunan,"Berdiri setinggi 42.7 m (140 ft), patung Murugan tertinggi di dunia, dewa Hindu, terletak di luar Batu Caves. Patung seharga sekitar 24 juta Rupee, terbuat dari 1550 meter kubik beton, 250 ton bar baja dan 300 liter cat emas yang didatangkan dari Thailand.","English: Batu Caves, near Kuala Lumpur, Malaysia Standing at 42.7 meter (140.09 ft) high, the world's tallest statue of Lord Muruga[1] is located outside Batu Caves, near the city of Kuala Lumpur, Malaysia.[2] The statue, which cost approximately RM 2.5 million,[3] is made of 1550 cubic metres of concrete, 250 tonnes of steel bars and 300 litres of gold paint brought in from neighboring Thailand.[2] References ↑ (2006-01-29). ""Tallest Murugan Statue In The World Unveiled At Batu Caves"". Error: journal= not stated. Bernama: Malaysian National News Agency. Retrieved on 2008-02-15. ↑ a b (2006-01-30). ""Giant Murugan statue unveiled in Malaysia"". Press Trust of India. The Hindu. Retrieved on 2008-02-12. ↑ (2006-01-29). ""Tallest Murugan Statue In The World Unveiled At Batu Caves"". Error: journal= not stated. Bernama: Malaysian National News Agency. Retrieved on 2008-02-15.",,image/jpeg,2288,1712,True,True,True,"Batu Caves, adalah sebuah bukit kapur, yang memiliki serangkaian gua dan kuil gua, terletak di distrik Gombak, Selangor, Malaysia. Tempat ini dinamai dari Sungai Batu, yang mengalir melewati bukit. Batu Caves juga merupakan nama desa terdekat.
Gua ini adalah salah satu kuil Hindu di luar India yang paling populer, yang didedikasikan untuk Dewa Murugan. Situs ini adalah titik fokus festival Hindu Thaipusam di Malaysia."
19,war,https://war.wikipedia.org/wiki/Tilapia,https://upload.wikimedia.org/wikipedia/commons/7/72/Fresh_tilapia.jpg,Tilapia,,Tilapia,,"Tilapia caught in Lake Hora, Debre Zeyit, Ethiopia.",,image/jpeg,3072,2048,True,True,True,"An Tilapia mao an komon na tawag sa malahos sayo ka gatos na species san isda sakop han Actinopterygii. An Tilapia in nahilalakip ha familia nga Cichlidae.
Kadam'an han Tilapia mahihiagian sa matapsi nga tubig ngan mababaw na sapa, salog ug lawa."
20,vi,https://vi.wikipedia.org/wiki/Trimeresurus_flavomaculatus,https://upload.wikimedia.org/wikipedia/commons/3/3b/Trimeresurus_flavomaculatus_%28KU_330049%29_from_mid-elevation%2C_Mt._Cagua_-_ZooKeys-266-001-g098.jpg,Trimeresurus flavomaculatus,,Trimeresurus flavomaculatus,,"English: Trimeresurus flavomaculatus (KU 330049) from mid-elevation, Mt. Cagua. Photo: RMB.",,image/jpeg,1004,1512,True,True,True,Trimeresurus flavomaculatus là một loài rắn trong họ Rắn lục. Loài này được Gray mô tả khoa học đầu tiên năm 1842.
21,id,https://id.wikipedia.org/wiki/Sorga_Ka_Toedjoe,https://upload.wikimedia.org/wikipedia/commons/e/eb/Sorga_Ka_Toedjoe_in_Pemandangan_crop.jpg,Sorga Ka Toedjoe,,Sorga Ka Toedjoe,Iklan koran,English: Malay language advertisement for Tan's Film's Sorga Ka Toedjoe,Iklan hitam putih,image/jpeg,1340,1130,True,True,True,"Sorga Ka Toedjoe adalah film Hindia Belanda tahun 1940 yang disutradarai Joshua dan Othniel Wong untuk Tan's Film. Film ini mengisahkan seorang pasangan tua, diperankan Kartolo dan Annie Landouw, yang setelah sekian tahun berpisah disatukan kembali oleh pasangan muda lain yang diperankan Roekiah dan Djoemala. Ini adalah film pertama Tan's Film setelah ditinggalkan Rd. Mochtar. Film ini hitam putih dan menampilkan musik keroncong. Film yang ditargetkan pada penonton pribumi kelas bawah ini sukses di pasaran dan disambut hangat oleh kritikus. Roekiah dan Djoemala kelak memainkan peran utama di empat film lainnya sebelum Tan's ditutup tahun 1942. Sorga Ka Toedjoe diduga hilang dari peredaran."
22,vi,https://vi.wikipedia.org/wiki/Banda_Aceh,http://upload.wikimedia.org/wikipedia/commons/a/a0/Meuseujid_Raya_Bayturrahman.JPG,Banda Aceh,,Banda Aceh,,English: Banda Aceh Grand Mosque,,image/jpeg,1248,1664,True,True,True,"Banda Aceh, tên cũ là Kutaraja, là thủ phủ và thành phố lớn nhất ở tỉnh Aceh, Indonesia. Thành phố nằm trên đảo Sumatra và có độ cao 35 mét trên mực nước biển. Thành phố có diện tích 64 km vuông và có dân số 219.070 người, dựa trên điều tra dân số năm 2000. Banda Aceh nằm ở mũi phía tây bắc của Indonesia tại cửa sông Aceh.
Thành phố ban đầu được thành lập với tên Bandar Aceh Darussalam Kandang và đóng vai trò thủ đô và trung tâm của Hồi quốc Aceh khi quốc gia này thành lập vào thế kỷ 15. Sau đó, tên của thành phố được đổi thành Bandar Aceh Darussalam, và cuối cùng trở thành cái tên phổ biến ngày nay Banda Aceh. Phần đầu tiên của tên xuất phát từ bandar trong tiếng Ba Tư có nghĩa là ""cảng"". Thành phố này còn được mệnh danh là ""bến cảng tới Mecca"" hay ""lối vào Mecca"" để chỉ thời kỳ trước đây khi những người hành hương Hajj đi biển từ Indonesia và sẽ dừng chân ở thành phố trước khi tiếp tục hành trình đến Mecca.
Banda Aceh từ lâu đã là trung tâm của các cuộc xung đột kéo dài giữa người bản địa và thực dân nước ngoài, bao gồm chiến tranh với Bồ Đào Nha, với Hà Lan, Nhật Bản và với cả chính phủ Indonesia."
23,id,https://id.wikipedia.org/wiki/Rupiah,https://upload.wikimedia.org/wikipedia/commons/6/62/Indonesia_2016_5000r_r.jpg,Rupiah,Uang emisi tahun 2016,Rupiah / Uang emisi tahun 2016,,"English: 5000 rupiah bill, 2016 series, reverse",,image/jpeg,212,470,True,True,True,"Rupiah Indonesia atau Rupiah adalah mata uang resmi Indonesia. Mata uang ini dicetak dan diatur penggunaannya oleh Bank Indonesia dengan kode ISO 4217 IDR. Secara tidak formal, orang Indonesia juga menyebut mata uang ini dengan nama ""perak"". Satu rupiah dibagi menjadi 100 sen, walaupun inflasi telah membuatnya tidak digunakan lagi kecuali hanya pada pencatatan di pembukuan bank."
24,id,"https://id.wikipedia.org/wiki/Santa_Maria,_Bulacan",https://upload.wikimedia.org/wikipedia/commons/a/a3/Bagbaguin_SMB2.JPG,"Santa Maria, Bulacan",Galeri,"Santa Maria, Bulacan / Galeri",,"English: Fortunato F. Halili Avenue, Barangay Bagbaguin, Santa Maria, Bulacan",,image/jpeg,480,640,True,True,True,"Santa Maria adalah munisipalitas di provinsi Bulacan, Filipina.
Pada tahun 2007, munisipalitas ini memiliki populasi sebesar 205.258 jiwa."
25,id,https://id.wikipedia.org/wiki/Suzuki_Carry,https://upload.wikimedia.org/wikipedia/commons/4/4e/1999_Ford_Pronto_truck.jpg,Suzuki Carry,Pasar luar Jepang,Suzuki Carry / Generasi kedelapan (DA-DB71/DA81/DA-DB41/DA-DB51) / Pasar luar Jepang,,中文（繁體）‎: 1992年福特好幫手小貨車,,image/jpeg,2700,3080,True,True,True,"Suzuki Carry adalah truk mini yang diproduksi oleh Suzuki. Versi microvan awalnya disebut Carry van sampai 1982 dinamai Suzuki Every. Di Jepang, Carry dan Every adalah mobil kei, tetapi ada juga Suzuki Every Landy yang ukurannya lebih besar, dengan mesin 1.3-liter 4 silinder. Mobil ini dijual dengan beberapa nama di banyak negara, juga satu-satunya mobil yang punya nama berbeda untuk merek Chevrolet dan Ford."
26,ceb,https://ceb.wikipedia.org/wiki/Julia_Clarete,https://upload.wikimedia.org/wikipedia/commons/3/31/JuliaEB.jpg,Julia Clarete,,Julia Clarete,,English: Julia Clarete of Eat Bulaga.,,image/jpeg,612,612,True,True,True,"Edda Giselle Rosetta Nuñez Clarette, nga mas maayo pa nga nailhan pinaagi sa iyang screen name nga si Julia Clarette, mao ang usa ka Filipino singer, actress, telebisyon panon sa kasundalohan ug performer. Siya mao ang labing maayo nga nailhan nga usa sa mga co-host sa Eat Bulaga!, sa labing taas nga aktibo sa nagaagay nga noontime TV show sa Pilipinas."
